OBJECTID,Type,Mgt_Area,Comments,Shape_Leng
165,Single Track,Arcadia Management Area,None,162.379948759
166,Single Track,Arcadia Management Area,NO NAME,152.721715636
167,Single Track,Arcadia Management Area,NO NAME,940.72778261
168,Single Track,Arcadia Management Area,Arcadia Trail,3226.45661706
169,Single Track,Arcadia Management Area,NO NAME,530.138574155
170,Single Track,Arcadia Management Area,"Mount Tom Trail, white blaze",4948.90676423
171,Single Track,Arcadia Management Area,Dove Crest,6867.73821463
172,Single Track,Arcadia Management Area,"Mount Tom Trail, white blaze",1773.24623855
173,Single Track,Arcadia Management Area,NO NAME,2763.90503526
174,Double Track,Arcadia Management Area,"no name , repair",1377.9852844
175,Single Track,Arcadia Management Area,NO NAME,136.853131805
176,Single Track,Arcadia Management Area,None,87.7411732015
177,Single Track,Arcadia Management Area,None,1914.93174085
178,Single Track,Arcadia Management Area,Old Ten Rod Road,454.839552915
179,Single Track,Arcadia Management Area,"no name , repair",4273.9241749
180,Single Track,Arcadia Management Area,Wildcat Trail,1811.56697268
181,Single Track,Arcadia Management Area,"no name , unknown",7694.18595271
182,Single Track,Arcadia Management Area,None,1040.16258391
183,Single Track,Arcadia Management Area,Tower Trail,450.664199767
184,Single Track,Arcadia Management Area,"unnamed, fair",2277.14885338
185,Double Track,Arcadia Management Area,"no name , repair",1959.09958701
186,Single Track,Arcadia Management Area,None,1878.08778379
187,Single Track,Arcadia Management Area,None,2193.10777742
188,Double Track,Arcadia Management Area,Tripp Trail,3896.23405911
189,Double Track,Arcadia Management Area,Bateman Trail,1427.89406131
190,Single Track,Arcadia Management Area,Narragansett Gun Club,1831.36524062
191,Single Track,Arcadia Management Area,John B. Hudson Trail,552.835361951
192,Single Track,Arcadia Management Area,None,232.378978788
193,Single Track,Arcadia Management Area,"John B. Hudson, west branch",3015.89032368
194,Single Track,Arcadia Management Area,"John B. Hudson, east branch, yellow blaze",2171.94302753
195,Single Track,Arcadia Management Area,unnamed,813.715822328
196,Double Track,Arcadia Management Area,Good,2841.8457362
197,Single Track,Arcadia Management Area,Good,623.377162737
198,Single Track,Arcadia Management Area,Good,2232.70540263
199,Single Track,Arcadia Management Area,Good,1359.10363361
200,Single Track,Arcadia Management Area,Shelter Trail,1486.63683781
201,Single Track,Arcadia Management Area,Shelter Trail,1869.34267423
202,Double Track,Arcadia Management Area,OFF NEWMAN,1908.15121565
203,Single Track,Arcadia Management Area,"Breakheart Trail ,",3648.24730353
204,Double Track,Arcadia Management Area,"Fiske Trail, Breakheart Trail, yellow blazw",3339.26632386
205,Double Track,Arcadia Management Area,Newman Trail,248.10524045
206,Double Track,Arcadia Management Area,Hicks Trail,3429.5098
207,Single Track,Arcadia Management Area,UNNAMED,3410.67837494
208,Single Track,Rome Point,None,912.935144781
